Rk,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,Pos Summary
1,Ichiro Suzuki,1,393,99.7,235,44,19,60,43.7,51.8,56.0,2653,9934,1420,3089,117,780,509,647,.311,.355,.402,.757,107,0,0,9.00,59,2.000,1,0,0,1.0,2,0,0,0,*9*8H7D/1
2,CC Sabathia,1,342,86.8,128,48,19,62.3,39.4,50.8,61.3,48,121,7,25,3,15,0,2,.207,.220,.306,.525,38,251,161,3.74,116,1.259,561,560,0,3577.1,3404,382,1099,3093,*1/H
3,Billy Wagner,10,325,82.5,107,24,16,27.7,19.8,23.7,31.6,810,20,1,2,0,1,0,1,.100,.143,.100,.243,-35,47,40,2.31,187,0.998,853,0,422,903.0,601,82,300,1196,*1
4,Carlos Beltrán,3,277,70.3,126,52,20,70,44.4,57.2,58.0,2586,9768,1582,2725,435,1587,312,1084,.279,.350,.486,.837,119,,,,,,,,,,,,,,*8*9*DH/73
5,Andruw Jones,8,261,66.2,109,34,17,62.7,46.4,54.6,58.0,2196,7599,1204,1933,434,1289,152,891,.254,.337,.486,.823,111,,,,,,,,,,,,,,*89H7D/3
6,Chase Utley,2,157,39.8,94,36,16,64.6,49.3,57,56.9,1937,6857,1103,1885,259,1025,154,724,.275,.358,.465,.823,117,,,,,,,,,,,,,,*4H3/D5
7,Alex Rodriguez,4,146,37.1,390,77,22,117.4,64.3,90.8,55.4,2784,10566,2021,3115,696,2086,329,1338,.295,.380,.550,.930,140,,,,,,,,,,,,,,*6*5DH/3
8,Manny Ramirez,9,135,34.3,226,69,19,69.3,39.9,54.6,53.5,2302,8244,1544,2574,555,1831,38,1329,.312,.411,.585,.996,154,,,,,,,,,,,,,,*7*9*DH
9,Andy Pettitte,7,110,27.9,128,44,18,60.2,34.1,47.2,61.3,108,196,6,27,1,13,0,6,.138,.163,.184,.346,-10,256,153,3.85,117,1.351,531,521,0,3316.0,3448,288,1031,2448,*1/H
10,Félix Hernández,1,81,20.6,67,31,15,49.8,38.5,44.1,61.3,22,50,3,4,1,7,0,2,.080,.115,.160,.275,-24,169,136,3.42,117,1.206,419,418,0,2729.2,2487,264,805,2524,*1
11,Bobby Abreu,6,77,19.5,95,54,18,60.2,41.6,50.9,56.0,2425,8480,1453,2470,288,1363,400,1476,.291,.395,.475,.870,128,,,,,,,,,,,,,,*9DH7/8
12,Jimmy Rollins,4,71,18,121,42,17,47.9,32.6,40.3,55.4,2275,9294,1421,2455,231,936,470,813,.264,.324,.418,.743,95,,,,,,,,,,,,,,*6H/D4
13,Omar Vizquel,8,70,17.8,120,42,24,45.6,26.8,36.2,55.4,2968,10586,1445,2877,80,951,404,1028,.272,.336,.352,.688,82,,,,,,,,,,,,,,*65H4/D379
14,Dustin Pedroia,1,47,11.9,94,32,14,51.9,41.0,46.4,56.9,1512,6031,922,1805,140,725,138,624,.299,.365,.439,.805,113,,,,,,,,,,,,,,*4/HD6
15,Mark Buehrle,5,45,11.4,52,31,16,59,35.8,47.4,61.3,55,125,4,9,1,3,0,2,.072,.087,.112,.199,-47,214,160,3.81,117,1.281,518,493,0,3283.1,3472,361,734,1870,*1
